RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
1053369,2016369383,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/12/2016 12:28:00 AM,10/11/2016 05:30:00 PM,10/11/2016 06:00:00 PM,10XX BLOCK OF N 36 ST,B,B3,5400.3010,-122.345367432,47.650661469,"(47.650661469, -122.345367432)",10,2016
1053431,2016171946,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/17/2016 08:47:00 AM,05/17/2016 12:01:00 AM,05/17/2016 08:00:00 AM,23XX BLOCK OF 14 AV E,C,C2,6100.2025,-122.313186646,47.640285492,"(47.640285492, -122.313186646)",5,2016
1053705,2016906872,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/10/2016 09:53:00 AM,09/24/2016 04:00:00 PM,09/25/2016 09:00:00 AM,35 AV NE / NE 70 ST,U,U3,3900.1004,-122.290374756,47.679412842,"(47.679412842, -122.290374756)",10,2016
1053711,2016906867,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/10/2016 09:01:00 AM,10/03/2016 09:00:00 AM,10/03/2016 10:30:00 AM,9XX BLOCK OF NE BOAT ST,U,U2,5302.2010,-122.318115234,47.653656006,"(47.653656006, -122.318115234)",10,2016
1053862,2016370437,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/12/2016 10:18:00 PM,10/05/2016 05:00:00 PM,10/09/2016 01:00:00 PM,21XX BLOCK OF N PACIFIC ST,B,B3,5400.2018,-122.332923889,47.648395538,"(47.648395538, -122.332923889)",10,2016
1053868,2016369831,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/12/2016 10:07:00 AM,10/11/2016 07:00:00 PM,10/11/2016 10:00:00 PM,14XX BLOCK OF 5 AV,M,M3,8200.1020,-122.335121155,47.610179901,"(47.610179901, -122.335121155)",10,2016
1053871,2016370586,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/12/2016 08:14:00 PM,10/12/2016 08:14:00 PM,,7 AV / PINE ST,M,M2,8200.1006,-122.334259033,47.612598419,"(47.612598419, -122.334259033)",10,2016
1053873,2016370266,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/12/2016 04:41:00 PM,10/06/2016 05:00:00 PM,10/11/2016 12:30:00 PM,51XX BLOCK OF 25 AV NE,U,U1,4302.2003,-122.300613403,47.667121887,"(47.667121887, -122.300613403)",10,2016
1053874,2016368948,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/11/2016 03:11:00 PM,10/09/2016 02:00:00 AM,10/09/2016 12:00:00 PM,8XX BLOCK OF OCCIDENTAL AV S,K,K2,9300.2016,-122.333267212,47.596782684,"(47.596782684, -122.333267212)",10,2016
1054046,2016370594,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/12/2016 08:21:00 PM,10/12/2016 08:21:00 PM,,10XX BLOCK OF VALLEY ST,D,D3,6600.1031,-122.336471558,47.625785828,"(47.625785828, -122.336471558)",10,2016
